"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.1613,1.8223,0,-0.27891,-1.4016,-1.6204
1.1656,1.8495,0,-0.27891,-1.3786,-1.6204
1.1686,1.869,0,-0.27891,-1.3556,-1.6204
1.1706,1.8817,0,-0.27891,-1.3327,-1.6204
1.1715,1.888,0,-0.27891,-1.3097,-1.6204
1.1715,1.8881,0,-0.27891,-1.2867,-1.6204
1.1707,1.8829,0,-0.27891,-1.2637,-1.6204
1.1692,1.8734,0,-0.27891,-1.2407,-1.6204
1.1672,1.8604,0,-0.27891,-1.2177,-1.6204
1.1646,1.8441,0,-0.27891,-1.1948,-1.6204
1.1616,1.8254,0,-0.27891,-1.1718,-1.6204
1.1585,1.8061,0,-0.27891,-1.1488,-1.6204
1.1555,1.7874,0,-0.27891,-1.1258,-1.6204
1.1526,1.7701,0,-0.27891,-1.1028,-1.6204
1.1501,1.7546,0,-0.27891,-1.0798,-1.6204
1.148,1.7417,0,-0.27891,-1.0569,-1.6204
1.1462,1.7313,0,-0.27891,-1.0339,-1.6204
1.1449,1.7231,0,-0.27891,-1.0109,-1.6204
1.1438,1.7169,0,-0.27891,-0.9879,-1.6204
1.1431,1.7125,0,-0.27891,-0.96491,-1.6204
1.1426,1.7096,0,-0.27891,-0.94193,-1.6204
1.1424,1.7082,0,-0.27891,-0.91894,-1.6204
1.1425,1.7083,0,-0.27891,-0.89596,-1.6204
1.1427,1.7096,0,-0.27891,-0.87297,-1.6204
1.143,1.7112,0,-0.27891,-0.84999,-1.6204
1.1432,1.7127,0,-0.27891,-0.82701,-1.6204
1.1435,1.7139,0,-0.27891,-0.80402,-1.6204
1.1436,1.7149,0,-0.27891,-0.78104,-1.6204
1.1437,1.7154,0,-0.27891,-0.75805,-1.6204
1.1436,1.7146,0,-0.27891,-0.73507,-1.6204
1.1433,1.7123,0,-0.27891,-0.71208,-1.6204
1.1426,1.7084,0,-0.27891,-0.6891,-1.6204
1.1417,1.7027,0,-0.27891,-0.66611,-1.6204
1.1405,1.6955,0,-0.27891,-0.64313,-1.6204
1.1391,1.6872,0,-0.27891,-0.62015,-1.6204
1.1375,1.6779,0,-0.27891,-0.59716,-1.6204
1.1357,1.6671,0,-0.27891,-0.57418,-1.6204
1.1336,1.6549,0,-0.27891,-0.55119,-1.6204
1.1314,1.6421,0,-0.27891,-0.52821,-1.6204
1.1292,1.6294,0,-0.27891,-0.50522,-1.6204
1.1271,1.617,0,-0.27891,-0.48224,-1.6204
1.1249,1.6043,0,-0.27891,-0.45926,-1.6204
1.1226,1.5917,0,-0.27891,-0.43627,-1.6204
1.1205,1.5795,0,-0.27891,-0.41329,-1.6204
1.1184,1.5679,0,-0.27891,-0.3903,-1.6204
1.1165,1.5575,0,-0.27891,-0.36732,-1.6204
1.1149,1.5487,0,-0.27891,-0.34433,-1.6204
1.1136,1.5415,0,-0.27891,-0.32135,-1.6204
1.1125,1.5354,0,-0.27891,-0.29836,-1.6204
1.1116,1.5303,0,-0.27891,-0.27538,-1.6204
1.1108,1.526,0,-0.27891,-0.2524,-1.6204
1.1101,1.5222,0,-0.27891,-0.22941,-1.6204
1.1095,1.5189,0,-0.27891,-0.20643,-1.6204
1.1091,1.5166,0,-0.27891,-0.18344,-1.6204
1.1088,1.515,0,-0.27891,-0.16046,-1.6204
1.1086,1.5137,0,-0.27891,-0.13747,-1.6204
1.1083,1.5121,0,-0.27891,-0.11449,-1.6204
1.108,1.5103,0,-0.27891,-0.091504,-1.6204
1.1077,1.5087,0,-0.27891,-0.06852,-1.6204
1.1074,1.5072,0,-0.27891,-0.045536,-1.6204
1.1071,1.5055,0,-0.27891,-0.022551,-1.6204
1.1067,1.5035,0,-0.27891,0.00043333,-1.6204
1.1063,1.5012,0,-0.27891,0.023418,-1.6204
1.1058,1.4985,0,-0.27891,0.046402,-1.6204
1.1052,1.4955,0,-0.27891,0.069387,-1.6204
1.1047,1.4926,0,-0.27891,0.092371,-1.6204
1.1042,1.4898,0,-0.27891,0.11536,-1.6204
1.1036,1.4866,0,-0.27891,0.13834,-1.6204
1.1029,1.4832,0,-0.27891,0.16132,-1.6204
1.1023,1.4798,0,-0.27891,0.18431,-1.6204
1.1018,1.4771,0,-0.27891,0.20729,-1.6204
1.1014,1.4751,0,-0.27891,0.23028,-1.6204
1.1011,1.4735,0,-0.27891,0.25326,-1.6204
1.1009,1.4724,0,-0.27891,0.27625,-1.6204
1.1008,1.4721,0,-0.27891,0.29923,-1.6204
1.1009,1.4727,0,-0.27891,0.32222,-1.6204
1.1012,1.4745,0,-0.27891,0.3452,-1.6204
1.1019,1.4779,0,-0.27891,0.36818,-1.6204
1.1028,1.483,0,-0.27891,0.39117,-1.6204
1.104,1.4894,0,-0.27891,0.41415,-1.6204
1.1054,1.497,0,-0.27891,0.43714,-1.6204
1.107,1.5055,0,-0.27891,0.46012,-1.6204
1.1087,1.5147,0,-0.27891,0.48311,-1.6204
1.1105,1.5246,0,-0.27891,0.50609,-1.6204
1.1125,1.5355,0,-0.27891,0.52908,-1.6204
1.1146,1.5474,0,-0.27891,0.55206,-1.6204
1.1168,1.5598,0,-0.27891,0.57504,-1.6204
1.1191,1.5723,0,-0.27891,0.59803,-1.6204
1.1213,1.5849,0,-0.27891,0.62101,-1.6204
1.1236,1.5979,0,-0.27891,0.644,-1.6204
1.126,1.6115,0,-0.27891,0.66698,-1.6204
1.1283,1.6253,0,-0.27891,0.68997,-1.6204
1.1307,1.639,0,-0.27891,0.71295,-1.6204
1.133,1.6527,0,-0.27891,0.73593,-1.6204
1.1353,1.6662,0,-0.27891,0.75892,-1.6204
1.1376,1.6797,0,-0.27891,0.7819,-1.6204
1.14,1.6937,0,-0.27891,0.80489,-1.6204
1.1424,1.7082,0,-0.27891,0.82787,-1.6204
1.1448,1.7229,0,-0.27891,0.85086,-1.6204
1.1473,1.7379,0,-0.27891,0.87384,-1.6204
1.1498,1.7531,0,-0.27891,0.89683,-1.6204
1.1524,1.7691,0,-0.27891,0.91981,-1.6204
1.1552,1.7861,0,-0.27891,0.94279,-1.6204
1.158,1.8035,0,-0.27891,0.96578,-1.6204
1.1609,1.8214,0,-0.27891,0.98876,-1.6204
1.1638,1.8396,0,-0.27891,1.0117,-1.6204
1.1667,1.8579,0,-0.27891,1.0347,-1.6204
1.1696,1.8765,0,-0.27891,1.0577,-1.6204
1.1726,1.8955,0,-0.27891,1.0807,-1.6204
1.1756,1.9148,0,-0.27891,1.1037,-1.6204
1.1785,1.9334,0,-0.27891,1.1267,-1.6204
1.1811,1.9506,0,-0.27891,1.1497,-1.6204
1.1834,1.9656,0,-0.27891,1.1726,-1.6204
1.1851,1.9769,0,-0.27891,1.1956,-1.6204
1.186,1.9825,0,-0.27891,1.2186,-1.6204
1.1859,1.9819,0,-0.27891,1.2416,-1.6204
1.1849,1.9752,0,-0.27891,1.2646,-1.6204
1.183,1.9624,0,-0.27891,1.2876,-1.6204
1.18,1.9428,0,-0.27891,1.3105,-1.6204
1.176,1.9162,0,-0.27891,1.3335,-1.6204
1.1709,1.8833,0,-0.27891,1.3565,-1.6204
1.1648,1.8442,0,-0.27891,1.3795,-1.6204
1.1575,1.7987,0,-0.27891,1.4025,-1.6204
1.1492,1.7477,0,-0.27891,1.4255,-1.6204
1.14,1.6923,0,-0.27891,1.4485,-1.6204
1.13,1.634,0,-0.27891,1.4714,-1.6204
1.1196,1.5747,0,-0.27891,1.4944,-1.6204
1.1091,1.5164,0,-0.27891,1.5174,-1.6204
1.0989,1.4611,0,-0.27891,1.5404,-1.6204
1.0892,1.41,0,-0.27891,1.5634,-1.6204
1.0804,1.3649,0,-0.27891,1.5864,-1.6204
1.0729,1.3273,0,-0.27891,1.6093,-1.6204
1.067,1.2985,0,-0.27891,1.6323,-1.6204
1.0631,1.2792,0,-0.27891,1.6553,-1.6204
1.061,1.2695,0,-0.27891,1.6783,-1.6204
1.0611,1.27,0,-0.27891,1.7013,-1.6204
1.0637,1.2822,0,-0.27891,1.7243,-1.6204
1.069,1.3078,0,-0.27891,1.7472,-1.6204
1.0771,1.3479,0,-0.27891,1.7702,-1.6204
1.0879,1.4024,0,-0.27891,1.7932,-1.6204
1.1007,1.4691,0,-0.27891,1.8162,-1.6204
1.1145,1.5436,0,-0.27891,1.8392,-1.6204
1.128,1.6197,0,-0.27891,1.8622,-1.6204
1.1401,1.69,0,-0.27891,1.8852,-1.6204
1.1496,1.7467,0,-0.27891,1.9081,-1.6204
1.1555,1.783,0,-0.27891,1.9311,-1.6204
1.1572,1.7934,0,-0.27891,1.9541,-1.6204
1.1541,1.7748,0,-0.27891,1.9771,-1.6204
1.1462,1.727,0,-0.27891,2.0001,-1.6204
1.1335,1.6523,0,-0.27891,2.0231,-1.6204
1.1163,1.5551,0,-0.27891,2.046,-1.6204
1.0953,1.4416,0,-0.27891,2.069,-1.6204
1.0712,1.3189,0,-0.27891,2.092,-1.6204
1.0448,1.1939,0,-0.27891,2.115,-1.6204
1.0173,1.0731,0,-0.27891,2.138,-1.6204
0.98989,0.96187,0,-0.27891,2.161,-1.6204
0.9638,0.86412,0,-0.27891,2.184,-1.6204
0.94028,0.78249,0,-0.27891,2.2069,-1.6204
1.1523,1.7631,0,-0.27891,-1.9073,-1.5974
1.1418,1.7001,0,-0.27891,-1.8843,-1.5974
1.129,1.6254,0,-0.27891,-1.8613,-1.5974
1.1151,1.5479,0,-0.27891,-1.8383,-1.5974
1.1018,1.4755,0,-0.27891,-1.8153,-1.5974
1.0902,1.4151,0,-0.27891,-1.7924,-1.5974
1.0816,1.3709,0,-0.27891,-1.7694,-1.5974
1.0763,1.3443,0,-0.27891,-1.7464,-1.5974
1.0742,1.3336,0,-0.27891,-1.7234,-1.5974
1.0745,1.335,0,-0.27891,-1.7004,-1.5974
1.0765,1.3449,0,-0.27891,-1.6774,-1.5974
1.0797,1.3613,0,-0.27891,-1.6544,-1.5974
1.0841,1.3838,0,-0.27891,-1.6315,-1.5974
1.09,1.4143,0,-0.27891,-1.6085,-1.5974
1.0973,1.453,0,-0.27891,-1.5855,-1.5974
1.1056,1.4975,0,-0.27891,-1.5625,-1.5974
1.1143,1.5457,0,-0.27891,-1.5395,-1.5974
1.1231,1.5953,0,-0.27891,-1.5165,-1.5974
1.1318,1.6456,0,-0.27891,-1.4936,-1.5974
1.1401,1.6944,0,-0.27891,-1.4706,-1.5974
1.1475,1.7386,0,-0.27891,-1.4476,-1.5974
1.1537,1.7766,0,-0.27891,-1.4246,-1.5974
1.1586,1.8072,0,-0.27891,-1.4016,-1.5974
1.1622,1.8299,0,-0.27891,-1.3786,-1.5974
1.1645,1.8446,0,-0.27891,-1.3556,-1.5974
