Intensity,E4,Composition,Points:0,Points:1,Points:2
0.95776,0.84153,0,-0.10379,0.50132,-0.51709
0.95949,0.84765,0,-0.10379,0.50915,-0.51709
0.96149,0.85476,0,-0.10379,0.51699,-0.51709
0.96393,0.86349,0,-0.10379,0.52482,-0.51709
1.138,1.678,0,-0.10379,-0.52495,-0.50926
1.1287,1.6237,0,-0.10379,-0.51712,-0.50926
1.1196,1.5721,0,-0.10379,-0.50928,-0.50926
1.111,1.5243,0,-0.10379,-0.50145,-0.50926
1.1031,1.4815,0,-0.10379,-0.49361,-0.50926
1.0962,1.4446,0,-0.10379,-0.48578,-0.50926
1.0904,1.4146,0,-0.10379,-0.47795,-0.50926
1.086,1.3918,0,-0.10379,-0.47011,-0.50926
1.0829,1.3757,0,-0.10379,-0.46228,-0.50926
1.0809,1.3654,0,-0.10379,-0.45444,-0.50926
1.0797,1.3594,0,-0.10379,-0.44661,-0.50926
1.079,1.3557,0,-0.10379,-0.43878,-0.50926
1.0782,1.3517,0,-0.10379,-0.43094,-0.50926
1.0768,1.3445,0,-0.10379,-0.42311,-0.50926
1.0742,1.3317,0,-0.10379,-0.41527,-0.50926
1.0704,1.3127,0,-0.10379,-0.40744,-0.50926
1.0653,1.288,0,-0.10379,-0.39961,-0.50926
1.0591,1.2586,0,-0.10379,-0.39177,-0.50926
1.0521,1.2256,0,-0.10379,-0.38394,-0.50926
1.0444,1.1899,0,-0.10379,-0.3761,-0.50926
1.0361,1.1525,0,-0.10379,-0.36827,-0.50926
1.0273,1.114,0,-0.10379,-0.36043,-0.50926
1.0182,1.0751,0,-0.10379,-0.3526,-0.50926
1.0088,1.036,0,-0.10379,-0.34477,-0.50926
0.99921,0.99722,0,-0.10379,-0.33693,-0.50926
0.98947,0.95894,0,-0.10379,-0.3291,-0.50926
0.97961,0.92133,0,-0.10379,-0.32126,-0.50926
0.96965,0.8845,0,-0.10379,-0.31343,-0.50926
0.95962,0.84852,0,-0.10379,-0.3056,-0.50926
0.94952,0.8134,0,-0.10379,-0.29776,-0.50926
0.93935,0.77916,0,-0.10379,-0.28993,-0.50926
0.92911,0.74579,0,-0.10379,-0.28209,-0.50926
0.9188,0.71326,0,-0.10379,-0.27426,-0.50926
0.9084,0.68157,0,-0.10379,-0.26643,-0.50926
0.89792,0.6507,0,-0.10379,-0.25859,-0.50926
0.88736,0.62065,0,-0.10379,-0.25076,-0.50926
0.87671,0.59144,0,-0.10379,-0.24292,-0.50926
0.866,0.56308,0,-0.10379,-0.23509,-0.50926
0.85523,0.53562,0,-0.10379,-0.22725,-0.50926
0.84443,0.5091,0,-0.10379,-0.21942,-0.50926
0.83363,0.48358,0,-0.10379,-0.21159,-0.50926
0.82288,0.45913,0,-0.10379,-0.20375,-0.50926
0.81223,0.43582,0,-0.10379,-0.19592,-0.50926
0.80173,0.41371,0,-0.10379,-0.18808,-0.50926
0.79144,0.39287,0,-0.10379,-0.18025,-0.50926
0.78143,0.37337,0,-0.10379,-0.17242,-0.50926
