Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
0.84204,0.50345,0,-0.10379,-0.21159,-0.51709,1.0542,8.50866
0.83127,0.47819,0,-0.10379,-0.20375,-0.51709,1.1355,8.5484
0.82061,0.45413,0,-0.10379,-0.19592,-0.51709,1.24546,8.58706
0.81011,0.43134,0,-0.10379,-0.18808,-0.51709,1.41017,8.62472
0.79983,0.40987,0,-0.10379,-0.18025,-0.51709,1.71293,8.66126
0.78985,0.38976,0,-0.10379,-0.17242,-0.51709,2.11347,8.6967
0.78021,0.37107,0,-0.10379,-0.16458,-0.51709,2.89795,8.73108
0.77099,0.35382,0,-0.10379,-0.15675,-0.51709,3.89462,8.76428
0.76226,0.33803,0,-0.10379,-0.14891,-0.51709,4.71291,8.79638
0.75408,0.32372,0,-0.10379,-0.14108,-0.51709,5.38292,8.82726
0.7465,0.31086,0,-0.10379,-0.13325,-0.51709,6.03329,8.85695
0.73958,0.29946,0,-0.10379,-0.12541,-0.51709,6.33409,8.88548
0.73336,0.28946,0,-0.10379,-0.11758,-0.51709,6.7254,8.91275
0.72786,0.28084,0,-0.10379,-0.10974,-0.51709,7.97299,8.93882
0.7231,0.27354,0,-0.10379,-0.10191,-0.51709,8.33082,8.9636
0.71909,0.26748,0,-0.10379,-0.094075,-0.51709,8.50979,8.98713
0.71581,0.26261,0,-0.10379,-0.08624,-0.51709,9.03936,9.00938
0.71324,0.25882,0,-0.10379,-0.078406,-0.51709,9.17724,9.03033
0.71132,0.25604,0,-0.10379,-0.070572,-0.51709,9.25006,9.04998
0.71002,0.25415,0,-0.10379,-0.062738,-0.51709,9.51475,9.06831
0.70926,0.25306,0,-0.10379,-0.054904,-0.51709,10.0563,9.08531
0.70897,0.25265,0,-0.10379,-0.04707,-0.51709,10.1488,9.10098
0.70907,0.2528,0,-0.10379,-0.039236,-0.51709,10.1991,9.1153
0.70948,0.2534,0,-0.10379,-0.031402,-0.51709,10.2641,9.12826
0.71011,0.25431,0,-0.10379,-0.023567,-0.51709,10.3552,9.13986
0.71087,0.25542,0,-0.10379,-0.015733,-0.51709,10.6011,9.1501
0.71168,0.25662,0,-0.10379,-0.0078992,-0.51709,10.6954,9.15896
0.71247,0.25778,0,-0.10379,-6.51e-05,-0.51709,10.7251,9.16644
0.71316,0.25881,0,-0.10379,0.007769,-0.51709,10.7414,9.17253
0.71369,0.25961,0,-0.10379,0.015603,-0.51709,10.7523,9.17725
0.71402,0.26012,0,-0.10379,0.023437,-0.51709,10.7599,9.18057
0.7141,0.26026,0,-0.10379,0.031271,-0.51709,10.7652,9.18251
0.7139,0.25999,0,-0.10379,0.039106,-0.51709,10.7691,9.18305
0.71341,0.25929,0,-0.10379,0.04694,-0.51709,10.7721,9.18221
0.71262,0.25815,0,-0.10379,0.054774,-0.51709,10.7902,9.17998
0.71153,0.25659,0,-0.10379,0.062608,-0.51709,10.8086,9.17637
0.71017,0.25463,0,-0.10379,0.070442,-0.51709,10.6794,9.17137
0.70856,0.25233,0,-0.10379,0.078276,-0.51709,10.6767,9.165
0.70673,0.24974,0,-0.10379,0.08611,-0.51709,10.6892,9.15725
0.70474,0.24693,0,-0.10379,0.093944,-0.51709,10.7175,9.14814
0.70264,0.24398,0,-0.10379,0.10178,-0.51709,10.7119,9.13766
0.70048,0.24097,0,-0.10379,0.10961,-0.51709,10.5963,9.12584
0.69832,0.238,0,-0.10379,0.11745,-0.51709,10.3707,9.11266
0.69623,0.23515,0,-0.10379,0.12528,-0.51709,10.308,9.09817
0.69428,0.2325,0,-0.10379,0.13311,-0.51709,10.3013,9.08234
0.69252,0.23013,0,-0.10379,0.14095,-0.51709,10.1448,9.06518
0.69102,0.22813,0,-0.10379,0.14878,-0.51709,10.0158,9.04674
0.68984,0.22655,0,-0.10379,0.15662,-0.51709,9.49029,9.02699
0.68902,0.22545,0,-0.10379,0.16445,-0.51709,9.35836,9.00598
0.68861,0.2249,0,-0.10379,0.17229,-0.51709,9.10282,8.98368
0.68864,0.22493,0,-0.10379,0.18012,-0.51709,8.96971,8.96016
0.68915,0.22558,0,-0.10379,0.18795,-0.51709,8.31294,8.9354
0.69016,0.22689,0,-0.10379,0.19579,-0.51709,7.93345,8.90939
0.69167,0.22888,0,-0.10379,0.20362,-0.51709,7.01079,8.88222
0.69369,0.23156,0,-0.10379,0.21146,-0.51709,4.89816,8.85382
0.69622,0.23495,0,-0.10379,0.21929,-0.51709,3.94489,8.82428
0.69925,0.23907,0,-0.10379,0.22712,-0.51709,3.12056,8.7936
0.70276,0.24392,0,-0.10379,0.23496,-0.51709,2.47685,8.76175
0.70675,0.2495,0,-0.10379,0.24279,-0.51709,2.05284,8.72882
0.71118,0.25583,0,-0.10379,0.25063,-0.51709,1.77099,8.69476
0.71604,0.26291,0,-0.10379,0.25846,-0.51709,1.55687,8.65967
0.72131,0.27074,0,-0.10379,0.2663,-0.51709,1.38583,8.62348
0.72697,0.27934,0,-0.10379,0.27413,-0.51709,1.24825,8.58631
0.73299,0.28873,0,-0.10379,0.28196,-0.51709,1.13556,8.54812
0.73937,0.29892,0,-0.10379,0.2898,-0.51709,1.04205,8.5089
0.74609,0.30995,0,-0.10379,0.29763,-0.51709,0.96377,8.46877
0.75315,0.32184,0,-0.10379,0.30547,-0.51709,0.898064,8.42763
0.76053,0.33466,0,-0.10379,0.3133,-0.51709,0.842702,8.38564
0.76825,0.34845,0,-0.10379,0.32113,-0.51709,0.796257,8.34274
0.77629,0.36328,0,-0.10379,0.32897,-0.51709,0.757306,8.29891
0.78467,0.37923,0,-0.10379,0.3368,-0.51709,0.724759,8.25429
0.7934,0.39638,0,-0.10379,0.34464,-0.51709,0.697414,8.20879
0.80249,0.41485,0,-0.10379,0.35247,-0.51709,0.674444,8.16254
0.81194,0.43474,0,-0.10379,0.3603,-0.51709,0.654986,8.11551
0.82177,0.45617,0,-0.10379,0.36814,-0.51709,0.638442,8.06767
0.832,0.47928,0,-0.10379,0.37597,-0.51709,0.624421,8.01916
0.84261,0.5042,0,-0.10379,0.38381,-0.51709,0.612416,7.96988
0.85361,0.53103,0,-0.10379,0.39164,-0.51709,0.602032,7.91998
0.86497,0.55983,0,-0.10379,0.39948,-0.51709,0.593061,7.86936
0.8766,0.59053,0,-0.10379,0.40731,-0.51709,0.585129,7.81817
0.88834,0.62281,0,-0.10379,0.41514,-0.51709,0.578,7.76638
0.89995,0.65598,0,-0.10379,0.42298,-0.51709,0.571477,7.71393
0.91105,0.68892,0,-0.10379,0.43081,-0.51709,0.565497,7.661
0.92122,0.7202,0,-0.10379,0.43865,-0.51709,0.559819,7.60746
0.93013,0.74848,0,-0.10379,0.44648,-0.51709,0.554329,7.55348
0.9376,0.77281,0,-0.10379,0.45431,-0.51709,0.548937,7.49901
0.94359,0.79276,0,-0.10379,0.46215,-0.51709,0.543572,7.44402
0.9482,0.80837,0,-0.10379,0.46998,-0.51709,0.538284,7.38865
0.95162,0.8201,0,-0.10379,0.47782,-0.51709,0.532921,7.3328
0.95413,0.82881,0,-0.10379,0.48565,-0.51709,0.52745,7.27663
0.95607,0.83558,0,-0.10379,0.49348,-0.51709,0.521844,7.2201
0.95776,0.84153,0,-0.10379,0.50132,-0.51709,0.516085,7.16315
0.95949,0.84765,0,-0.10379,0.50915,-0.51709,0.510155,7.10595
0.96149,0.85476,0,-0.10379,0.51699,-0.51709,0.504014,7.04837
0.96393,0.86349,0,-0.10379,0.52482,-0.51709,0.497699,6.9906
1.138,1.678,0,-0.10379,-0.52495,-0.50926,0.428139,6.40926
1.1287,1.6237,0,-0.10379,-0.51712,-0.50926,0.427926,6.47068
1.1196,1.5721,0,-0.10379,-0.50928,-0.50926,0.427982,6.53211
1.111,1.5243,0,-0.10379,-0.50145,-0.50926,0.428304,6.59338
1.1031,1.4815,0,-0.10379,-0.49361,-0.50926,0.428922,6.65462
